search URL:,https://patents.google.com/?q=ginkgo&q=boloba&q=linn
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link
KR101086258B1,Preventive and curative extracts from medicinal plants and their composition for respiratory organ disease ,에스케이케미칼주식회사,"곽의종, 김택수, 류근호, 백혜연, 유헌승, 정기원, 정인호, 조용백, 한창균",2004-12-14,2004-12-14,2011-11-24,2011-11-24,https://patents.google.com/patent/KR101086258B1/en
CN102293802B,Medicinal composition for treating cardiovascular diseases and preparation method thereof ,吉林省集安益盛药业股份有限公司,"尹笠佥, 殷惠军, 史大卓, 张益胜, 徐芳菲, 单强",2010-06-25,2010-06-25,2014-06-18,2014-06-18,https://patents.google.com/patent/CN102293802B/en
CN104524044A,Preparation method of Zhixinkang ,百花医药集团股份有限公司,"黄文荣, 马静, 周菲娅, 武小赟",2014-12-19,2014-12-19,2015-04-22,,https://patents.google.com/patent/CN104524044A/en
CN105559134A,"Cigarette additive containing natural medicines and stones, nano-elements and negative ions ",南通蛇类治疗研究所,"成进学, 成钢",2015-11-09,2015-11-09,2016-05-11,,https://patents.google.com/patent/CN105559134A/en
KR20100038424A,Pirenzepine and derivatives thereof as anti-amyloid agents ,"에이씨 이뮨 에스.에이., 프로테오시스 악티엔게젤샤프트","안드레아스 무스, 안드레 스크라텐홀즈, 안드레아 파이퍼",2007-07-02,2008-07-02,2010-04-14,,https://patents.google.com/patent/KR20100038424A/en
JPWO2007004390A1,Cachexia improved formulations and cachexia improving food ,建仁 河乃,"建仁 河乃, 慶漢 曽, 魯ロン シン",,2006-06-12,2009-03-05,,https://patents.google.com/patent/JPWO2007004390A1/en
CA2437259A1,Plant extracts and compositions comprising extracellular protease inhibitors ,"Biopharmacopae Design International Inc., Benoit Cyr, Avrio Ventures Lp, Lucas Meyer Cosmetics Inc., Lucas Meyer Cosmetics Canada Inc.",Benoit Cyr,2001-03-02,2002-03-04,2002-09-12,,https://patents.google.com/patent/CA2437259A1/en
CN104938864A,Pig feed compound additive capable of clearing internal heat and preparation method thereof ,李高明,李高明,2015-07-08,2015-07-08,2015-09-30,,https://patents.google.com/patent/CN104938864A/en
WO2014051305A2,Method for preparing fermented ginkgo biloba beverage using heat-resistant amylase ,"University Of Ulsan Foundation For Industry Cooperation, 울산대학교 산학협력단","Dae Sil Lee, 이대실, Hun Taeg Chung, 정헌택, Sung Hoon Back, 백승훈, Seung Je Woo, 우승제, Sun Oh Jeong, 정선오",2012-09-28,2013-09-24,2014-04-03,,https://patents.google.com/patent/WO2014051305A2/en
KR20060011838A,Ginkgo biloba extract as a treatment for therapeutic induced neurotoxicity ,조지타운 유니버시티,"존 엘 마샬, 바실리오스 파파도폴로스",2003-05-02,2004-05-03,2006-02-03,,https://patents.google.com/patent/KR20060011838A/en
CN101683526A,"Pharmaceutical composition containing angiotensin II receptor antagonist, B vitamins and gingo biloba extract ",北京奥萨医药研究中心有限公司;深圳奥萨医药有限公司,"徐希平, 王文艳, 田敏卿, 平 陈, 陈光亮, 陈明侠",2008-05-29,2008-05-29,2010-03-31,,https://patents.google.com/patent/CN101683526A/en
WO2009155585A1,N utragenomics ,"Blumy Kenneth, Waite Roger L, Downs B William","Blumy Kenneth, Roger L. Waite, B. William Downs",2008-06-21,2009-06-22,2009-12-23,,https://patents.google.com/patent/WO2009155585A1/en
CN105147966A,Traditional Chinese medicine for treating cerebral apoplexy ,王艳娣,王艳娣,2015-10-14,2015-10-14,2015-12-16,,https://patents.google.com/patent/CN105147966A/en
CN103689557B,The functional food and its preparation method ginkgo Ganoderma ,"江苏大学, 江苏安惠生物科技有限公司","张志才, 郑惠华, 任晓峰, 谢德中, 陈惠�, 张才九",2012-09-27,2012-09-27,2015-10-07,2015-10-07,https://patents.google.com/patent/CN103689557B/en
CN103704534A,Dairy cow feed containing nutlet components and method for breeding dairy cows by stages ,王众,王众,2014-01-06,2014-01-06,2014-04-09,,https://patents.google.com/patent/CN103704534A/en
US20110305781A1,Use of Eclipta Prostrata and Other PPAR-GAMMA Inhibitors in Cosmetics and Compositions Thereof ,"Avon Products, Inc.","Cheng S. Hwang, Uma Santhanam, Manpreet Randhawa",2010-06-11,2011-05-25,2011-12-15,,https://patents.google.com/patent/US20110305781A1/en
US20060018867A1,Cosmetic composition and production thereof ,"Ichimaru Pharcos Co., Ltd, Chisso Corporation","Yuji Kawasaki, Michimasa Hori, Yuichi Yamamoto, Jun Hiraki",2004-05-12,2005-05-11,2006-01-26,,https://patents.google.com/patent/US20060018867A1/en
CA2403303A1,Method of identifying ginko biloba in a plant extract by gene profiling ,"Katy Drieu, Vassilios Papadopoulos, Societe De Conseils De Recherches Et D'applications Scientifiques S.A.S., Georgetown University","Katy Drieu, Vassilios Papadopoulos",2000-03-31,2001-03-27,2001-10-11,,https://patents.google.com/patent/CA2403303A1/en
CN103055014A,Folium ginkgo health product for preventing senile dementia and preparation method thereof ,青岛华仁信息技术开发有限公司,不公告发明人,2012-12-31,2012-12-31,2013-04-24,,https://patents.google.com/patent/CN103055014A/en
KR20070032933A,3 laboratory toxicity Paz ,김은순,김은순,2006-11-17,2006-11-17,2007-03-23,,https://patents.google.com/patent/KR20070032933A/en
US20060160826A1,Methods of treating ischemic related conditions ,"Ghanbari Hossein A, Michael Lebowitz, Weiying Pan, Zhi-Gang Jiang","Hossein Ghanbari, Michael Lebowitz, Weiying Pan, Zhi-Gang Jiang",2003-05-01,2004-04-30,2006-07-20,,https://patents.google.com/patent/US20060160826A1/en
CN101791337A,Composition for treatment of vascular dementia and preparation method thereof ,苏州卫生职业技术学院,王琳,2010-03-26,2010-03-26,2010-08-04,,https://patents.google.com/patent/CN101791337A/en
CN103223087B,A method of treating diabetes diet prescription ,谭格铭,谭格铭,2013-05-13,2013-05-13,2016-10-05,2016-10-05,https://patents.google.com/patent/CN103223087B/en
CN1626235A,"Compound preparation of forest frog, and preparation method ",唐天德,"唐天德, 潘苏华",2004-08-12,2004-08-12,2005-06-15,,https://patents.google.com/patent/CN1626235A/en
JP2005298429A,Vascular endothelial type nitric oxide synthase activity promoter ,"Maruzen Pharmaceut Co Ltd, 丸善製薬株式会社","Yoshihiko Ishida, Nobuaki Oto, 信明 大戸, 芳彦 石田",2004-04-14,2004-04-14,2005-10-27,,https://patents.google.com/patent/JP2005298429A/en
JP2001139419A,Cosmetic composition ,"Ichimaru Pharcos Co Ltd, 一丸ファルコス株式会社","Norihisa Kawai, Kiyotaka Tanaka, Kanae Wakamatsu, 徳久 河合, 清隆 田中, 香苗 若松",1999-11-12,1999-11-12,2001-05-22,,https://patents.google.com/patent/JP2001139419A/en
CN101606936A,Medicinal composition for treating diabetes ,中南大学,"周应军, 曾光尧, 蒋梅香",2008-06-20,2008-06-20,2009-12-23,,https://patents.google.com/patent/CN101606936A/en
KR100804638B1,Plant extract and the Use Thereof ,디바파마 쿠어 아게,"하랄트 무르크, 미하엘 플로흐, 토마스 하프너",2002-03-26,2003-03-25,2008-02-20,2008-02-20,https://patents.google.com/patent/KR100804638B1/en
CN102319272B,Application of ginkgolic acid in preparation of external preparation for treating dermatopathy ,王青,"雷红, 王青",2011-08-18,2011-08-18,2013-12-11,2013-12-11,https://patents.google.com/patent/CN102319272B/en
CN102242152A,"Humic acid active component and preparation method, application and pharmaceutical composition thereof ",华东理工大学,"刘建文, 史萍, 周霞萍, 曾宪成, 谢兆佳, 韩立新",2011-05-10,2011-05-10,2011-11-16,,https://patents.google.com/patent/CN102242152A/en
WO2012059158A1,"Composition and drug containing omega-3 fatty acids, and a modulator ",F. Holzer Gmbh,"Frank Holzer, Hyeck Hee Lee, Markus Mahler, Ute Steinfeld",2010-11-05,2011-09-27,2012-05-10,,https://patents.google.com/patent/WO2012059158A1/en
EP2829880A1,Method for identifying modulators of BCRP/ABCG2-mediated ATP release and use of said modulators for treating diseases ,Energeia Biosciences,Pauline Breedveld,2013-07-26,2013-07-26,2015-01-28,,https://patents.google.com/patent/EP2829880A1/en
KR20130073059A,Composition containing fermented extract of epicarp of ginkgo biloba for natural preservative ,최종경,"최종경, 구창섭",2011-12-23,2011-12-23,2013-07-03,,https://patents.google.com/patent/KR20130073059A/en
CN101669960A,Akebiasaponin D and application of composition thereof in preparation of medicaments for treating senile dementia ,中国药科大学,杨中林,2008-09-11,2008-09-11,2010-03-17,,https://patents.google.com/patent/CN101669960A/en
CN102283870B,"High-purity folium ginkgo composition, preparation including same and preparation method thereof ",黑龙江珍宝岛药业股份有限公司,方同华,2011-09-09,2011-09-09,2014-04-16,2014-04-16,https://patents.google.com/patent/CN102283870B/en
KR20110114514A,Ginkgo extract harmful insects ,이영곤,이영곤,2011-09-08,2011-09-08,2011-10-19,,https://patents.google.com/patent/KR20110114514A/en
CN101654386A,Ginkgo fertilizer and fertilizing method thereof ,南京林业大学,"吴广亮, 唐二春, 曹福亮, 王佳宏",2009-10-09,2009-10-09,2010-02-24,,https://patents.google.com/patent/CN101654386A/en
CN105434483A,"Ginkgo flavone and lactone composition, dripping pill thereof, and application of dripping pill ","李宏, 浙江九旭药业有限公司","麻军法, 李传俊, 陈应林, 于自勋, 岳昌林, 范玲玲, 田宏迪",2015-12-16,2015-12-16,2016-03-30,,https://patents.google.com/patent/CN105434483A/en
CN103070400B,Use of lotus procyanidin as advanced glycosylation end product formation inhibitor ,华中农业大学,"孙智达, 吴茜, 李书艺, 关亚飞, 谢笔钧",2012-07-17,2012-07-17,2014-01-15,2014-01-15,https://patents.google.com/patent/CN103070400B/en
KR20070033133A,A composition for external preparation for the protection and the treatment of atopic dermatitis ,에스케이케미칼주식회사,"곽의종, 김주현, 신정주, 윤세준, 이순근, 이은주, 조용백, 한창균",2005-09-21,2005-09-21,2007-03-26,,https://patents.google.com/patent/KR20070033133A/en
CN102292094B,Sorbic and benzoic acid and derivatives thereof enhance the activity of a neuropharmaceutical ,洛杉矶生物医学研究所在哈伯-加州大学洛杉矶分校医疗中心,蔡果荃·埃米尔,2009-01-20,2010-01-19,2013-08-14,2013-08-14,https://patents.google.com/patent/CN102292094B/en
CN101176770A,Pharmaceutical composition of folium ginkgo and cattail pollen ,黄振华,黄振华,2006-11-09,2006-11-09,2008-05-14,,https://patents.google.com/patent/CN101176770A/en
JP5893135B2,Combination and the use of active substances to induce a synergistic effect of multiple targeting ,"ビボゾーン インコーポレイテッド, ビボゾーン  インコーポレイテッド","ドゥヒョン イ, ドゥヒョン イ, ソンヨン チョ, ソンヨン チョ",2011-06-28,2012-06-28,2016-03-23,2016-03-23,https://patents.google.com/patent/JP5893135B2/en
US20070122906A1,Method of culturing cells ,Allan Mishra,Allan Mishra,2003-12-29,2004-12-23,2007-05-31,,https://patents.google.com/patent/US20070122906A1/en
US20050163821A1,Drug-eluting Biodegradable Stent and Delivery Means ,"Hsing-Wen Sung, Mei-Chin Chen, Hosheng Tu","Hsing-Wen Sung, Mei-Chin Chen, Hosheng Tu",2002-08-02,2005-02-10,2005-07-28,,https://patents.google.com/patent/US20050163821A1/en
US20060177480A1,Drug-eluting biodegradable stent ,"Hsing-Wen Sung, Mei-Chin Chen, Hosheng Tu","Hsing-Wen Sung, Mei-Chin Chen, Hosheng Tu",2005-02-10,2005-05-17,2006-08-10,,https://patents.google.com/patent/US20060177480A1/en
CN100594910C,Compound panoxatriol saponin with physiological activity and its preparation and use ,昆明香格喜玛生物技术有限责任公司,"杨兆祥, 黎 艾",2004-06-03,2004-06-03,2010-03-24,2010-03-24,https://patents.google.com/patent/CN100594910C/en
CN101411716A,Use of polygonin for preparing product for resisting dementia ,中国人民解放军第二军医大学,"丁雪鹰, 姜远英, 曹永兵, 凯 肖, 蔺红伟, 陈万生, 黄金灵",2008-07-08,2008-07-08,2009-04-22,,https://patents.google.com/patent/CN101411716A/en
CN101485332B,Multifunctional preparation and method of use thereof ,王淮勇,"付菊, 王淮勇",2009-02-16,2009-02-16,2012-10-03,2012-10-03,https://patents.google.com/patent/CN101485332B/en
CN1990030A,Fragrant fumigant ,刘思晨,"刘思晨, 宋俊",2005-12-26,2005-12-26,2007-07-04,,https://patents.google.com/patent/CN1990030A/en
JP2003334046A,Powder drink containing hordeum vulgare young leaf and/or brassica oleracea l. var. acephala and drink ,"Yoshio Yamamoto, 嘉男 山本","Yoshio Yamamoto, 嘉男 山本",2002-05-21,2002-05-21,2003-11-25,,https://patents.google.com/patent/JP2003334046A/en
KR101045353B1,The method of dyeing using natural dye ,송금자,송금자,2010-12-27,2010-12-27,2011-06-30,2011-06-30,https://patents.google.com/patent/KR101045353B1/en
US7115297B2,Nutritionally fortified liquid composition with added value delivery systems/elements/additives ,Suzanne Jaffe Stillman,Suzanne Jaffe Stillman,2000-02-22,2002-09-16,2006-10-03,2006-10-03,https://patents.google.com/patent/US7115297B2/en
KR20110090217A,Anhydrous lactobacillus fermentation health function food composition with sex funstion improvements and its preparation method ,이상권,"이상권, 이수철",2010-02-03,2010-02-03,2011-08-10,,https://patents.google.com/patent/KR20110090217A/en
CN103432192B,Composition having a slimming effect ,王青,"雷红, 王青",2013-09-15,2013-09-15,2015-08-19,2015-08-19,https://patents.google.com/patent/CN103432192B/en
KR101515865B1,A step 6 method for improving skin condition using composition comprising red-wilfordi root and black-ginseng fermentation extract haved skin whitening function ,박성율,박성율,2015-03-02,2015-03-02,2015-05-04,2015-05-04,https://patents.google.com/patent/KR101515865B1/en
JPH11180813A,Antimicrobial and antiseptic agent containing extract of seaweed ,"Ichimaru Pharcos Co Ltd, Neetec:Kk, Yaizu Suisankagaku Industry Co Ltd, 一丸ファルコス株式会社, 株式会社ネーテック, 焼津水産化学工業株式会社","妍 ▲コウ▼, Norihisa Kawai, Ken Kou, Yoshiharu Matahira, Takehito Naitou, Hirofumi Yura, 岳仁 内藤, 芳春 又平, 徳久 河合, 洋文 由良",1997-12-19,1997-12-19,1999-07-06,,https://patents.google.com/patent/JPH11180813A/en
CN1958025A,"Composition of medicine for treating cerebral arteriosclerosis, and preparation method ",哈尔滨儿童制药厂,房凯,2005-10-31,2005-10-31,2007-05-09,,https://patents.google.com/patent/CN1958025A/en
CN103479807B,Brain protecting composition as well as preparation method and application thereof ,四川大学华西医院,"李涛, 杨倩, 张乃月, 冉晓红, 陈艳芳, 吴畏, 刘进",2013-09-29,2013-09-29,2015-07-08,2015-07-08,https://patents.google.com/patent/CN103479807B/en
CN103623154B,One kind of Chinese medicine treatment of cerebral infarction ,孙桂好,"孙桂好, 孙宏亮, 王海鹏",2013-11-29,2013-11-29,2015-09-30,2015-09-30,https://patents.google.com/patent/CN103623154B/en
CN104587087A,Pharmaceutical composition for treating cardiovascular and cerebrovascular diseases ,神威药业集团有限公司,"张志伟, 李志刚, 张纲, 关秀伟, 禄蕴, 高伟博",2014-12-30,2014-12-30,2015-05-06,,https://patents.google.com/patent/CN104587087A/en
CN102552100A,Plant composition for skin care and its preparation method ,向云汉,向云汉,2012-02-02,2012-02-02,2012-07-11,,https://patents.google.com/patent/CN102552100A/en
CN103393956A,Chinese medicinal composition for treating prostatitis and its preparation method ,雷生才,雷生才,2013-08-07,2013-08-07,2013-11-20,,https://patents.google.com/patent/CN103393956A/en
CN100364423C,"Preparation method of fat-reducing blood sugar-reducing milk containing micro gingko leaf, Gymostamma pentaphyllum, haw and konnjaku powder ",余内逊,"余内逊, 余谦梁",2005-12-19,2005-12-19,2008-01-30,2008-01-30,https://patents.google.com/patent/CN100364423C/en
CN102018212B,Red yeast rice capsules and preparation method thereof ,北京晴川健康科技股份有限公司,韩兆锦,2009-09-17,2009-09-17,2014-03-19,2014-03-19,https://patents.google.com/patent/CN102018212B/en
CN1676036A,Health-care food of glossy ganoderma and China root greenbrier rhizome and its preparing method ,黄平,黄平,2005-03-10,2005-03-10,2005-10-05,,https://patents.google.com/patent/CN1676036A/en
CN101283722A,Preparation method of coffee for enhancing intelligence ,王跃进,王跃进,2008-05-04,2008-05-04,2008-10-15,,https://patents.google.com/patent/CN101283722A/en
CN103300429B,Ginkgo powder and its production method ,何政杜,何政杜,2013-06-17,2013-06-17,2016-01-13,2016-01-13,https://patents.google.com/patent/CN103300429B/en
US20110111457A1,Methods for microbial production of terpenoids ,Massachusetts Institute Of Technology,"Effendi Leonard, Parayil K. Ajikumar, Kristala Lanett Jones Prather, Gregory Stephanopoulos, Kelly Thayer",2009-11-10,2009-11-10,2011-05-12,,https://patents.google.com/patent/US20110111457A1/en
CN101780223A,Traditional Chinese medicine with integral coordination function for treating ischemic cerebrovascular disease ,任添华,任添华,2010-04-09,2010-04-09,2010-07-21,,https://patents.google.com/patent/CN101780223A/en
JP2001321121A,Hair growing and restoring food and drink ,"Ichimaru Pharcos Co Ltd, 一丸ファルコス株式会社","Munenori Maeda, Yoshihiko Naba, Yukinaga Nishibe, 宗紀 前田, 幸修 西部, 慶彦 那波",2000-05-11,2000-05-11,2001-11-20,,https://patents.google.com/patent/JP2001321121A/en
CN103736011B,Cholesterol-lowering medicine for injection care and preparation method ,于义琴,"于义琴, 刘玉含, 臧萍, 王岩",2013-12-30,2013-12-30,2016-03-02,2016-03-02,https://patents.google.com/patent/CN103736011B/en
US20040234587A1,"Natural marine source phospholipids comprising flavonoids, polyunsaturated fatty acids and their applications ",Fotini Sampalis,Fotini Sampalis,2001-07-27,2002-07-29,2004-11-25,,https://patents.google.com/patent/US20040234587A1/en
CN1207311C,Ginkgo pectin extracted by using ginkgo external seed peel as raw material and extraction method ,石启田,石启田,2003-04-02,2003-04-02,2005-06-22,2005-06-22,https://patents.google.com/patent/CN1207311C/en
CN102688501A,"Proanthocyanidin B2 phospholipid compound, and preparation method and application thereof ",浙江萧山医院,"庹焱, 徐超斗, 李铁军, 管孝君, 蒋国军, 路明珠, 邹豪",2012-06-20,2012-06-20,2012-09-26,,https://patents.google.com/patent/CN102688501A/en
CN102822413A,Process of treatment of fibers and/or textile materials ,利普泰股份公司,"约塞普·卢伊斯·维拉多特佩蒂特, 拉奎尔·德尔加多冈萨雷斯, 阿方索·费尔南德斯博泰洛",2010-03-24,2011-03-24,2012-12-12,,https://patents.google.com/patent/CN102822413A/en
WO2008147022A1,Anti-wrinkle composition for external applications to the skin containing biflavonoid derivatives ,"Amorepacific Corporation, Industry-Academic Cooperation Foundation, Chosun University","Chanwoo Lee, Eunrhan Woo, Hansung Kim, Song Yi Lee, Hyunjung Choi, Ji Yeong Kim, Jinwong Kim, Duckhee Kim, Han Kon Kim, Ihseop Chang",2007-06-01,2008-02-22,2008-12-04,,https://patents.google.com/patent/WO2008147022A1/en
CN102204609A,Method for preparing Paeonia ostii fruit tea bags ,安徽农业大学,"吴悠, 吴计划, 孙强, 李梅青, 王芬, 陈健",2011-06-07,2011-06-07,2011-10-05,,https://patents.google.com/patent/CN102204609A/en
KR101184313B1,iLomys No.4 Complex with an anti-inflammation activity ,문득곤,"김기호, 김영희, 문득곤, 최현진, 한창성",2010-02-03,2010-02-03,2012-09-19,2012-09-19,https://patents.google.com/patent/KR101184313B1/en
CN104472228A,Method for cultivating mycorrhization gingko grafting seedlings ,西北农林科技大学,"何佳林, 季志平, 吕平会",2014-11-24,2014-11-24,2015-04-01,,https://patents.google.com/patent/CN104472228A/en
CN100435672C,Health cactus cigarette ,汪金江;汪成志,"汪成志, 汪金江",2006-06-26,2006-06-26,2008-11-26,2008-11-26,https://patents.google.com/patent/CN100435672C/en
US20130115249A1,Osmotic Device Containing Amantadine and an Osmotic Salt ,Osmotica Kereskedelmi Es Szolgaltato Kft,"Juan A. Vergez, Joaquina Faour, Ana C. PASTINI, Guido S. BIGATTI, Glenn A. Meyer, Ethel C. Feleder, Marcelo A. Ricci, Marcelo A. Coppari, Marcelo F. Befumo",2004-12-03,2012-07-18,2013-05-09,,https://patents.google.com/patent/US20130115249A1/en
KR20120121468A,anhydrous lactobacillus fermentation health function food composition with sex funstion improvements effects ,이상권,"이상권, 이수철",2011-04-27,2011-04-27,2012-11-06,,https://patents.google.com/patent/KR20120121468A/en
CN101100299A,Method for preparing active carbon ,南京林业大学,"张往祥, 曹福亮, 杨小虎, 汪贵斌",2007-05-23,2007-05-23,2008-01-09,,https://patents.google.com/patent/CN101100299A/en
CN101589808A,Beverage preparation containing curcumin extraction ,萨哈春食品供应有限公司,S·巴达纳瓮云荣,2008-05-26,2008-08-21,2009-12-02,,https://patents.google.com/patent/CN101589808A/en
US20040072323A1,Diterpene-producing unicellular organism ,"Matsuda Seiichi P.T., Hart Elizabeth A.","Seiichi Matsuda, Elizabeth Hart",2001-01-05,2002-01-07,2004-04-15,,https://patents.google.com/patent/US20040072323A1/en
CN102920807A,Herb tea for lowering blood pressure ,龚定军,"龚定军, 聂艳",2012-11-26,2012-11-26,2013-02-13,,https://patents.google.com/patent/CN102920807A/en
US8647685B1,Composite of herbal extracts for lowering blood lipid and medication comprising the said composite ,"Timing Pharmaceutical Co., Ltd.","Po-Lun Wang, I-Min Liu, Shorong-Shii Liou, Chia-Ju Chang",2012-08-03,2012-08-03,2014-02-11,2014-02-11,https://patents.google.com/patent/US8647685B1/en
CN102552471A,Chinese medicinal preparation or health product with hypotensive and hypolipidemic effects ,淄博金硕生物科技有限公司,"李宗新, 王玉峰, 赵祥忠",2012-02-23,2012-02-23,2012-07-11,,https://patents.google.com/patent/CN102552471A/en
CN101601632A,Application of composition containing 20(S)-protopanaxadiol in preparing cosmetic for caring skin ,苏州和茂生物技术有限公司,王明忠,2009-06-16,2009-06-16,2009-12-16,,https://patents.google.com/patent/CN101601632A/en
US4731021A,Classification language and method ,Chan See F,See F. Chan,1984-09-14,1986-07-08,1988-03-15,1988-03-15,https://patents.google.com/patent/US4731021A/en
CN1493346A,Functional medical wine for treating various diseases ,聂伦金,聂伦金,2003-09-03,2003-09-03,2004-05-05,,https://patents.google.com/patent/CN1493346A/en
US6991814B2,Herbal medicaments for the treatment of neurocerebrovascular disorders ,Council Of Scientific And Industrial Research,"Madhur Ray, Raghwendra Pal, Satyawan Singh, Nandoo Mal Khanna",2001-12-13,2002-12-13,2006-01-31,2006-01-31,https://patents.google.com/patent/US6991814B2/en
CN102335347B,Panax pseudo-ginseng and panax quinquefolium soft capsules ,湖南金六谷药业有限公司,朱光辉,2011-09-29,2011-09-29,2013-03-20,2013-03-20,https://patents.google.com/patent/CN102335347B/en
CN100490685C,Health smoke substitute making cactus as main raw material ,汪金江;汪成志,"汪成志, 汪金江",2006-06-26,2006-06-26,2009-05-27,2009-05-27,https://patents.google.com/patent/CN100490685C/en
CN1651008A,Chinese medicine for treating blood vessel nature feeble-mindedness ,张自超,张自超,2004-12-27,2004-12-27,2005-08-10,,https://patents.google.com/patent/CN1651008A/en
CN103655940B,Chinese herbal compound for treating Menopathy ,陕西东科制药有限责任公司,"夏传涛, 申旭霁, 孙颖",2013-12-05,2013-12-05,2016-08-17,2016-08-17,https://patents.google.com/patent/CN103655940B/en
US9192638B2,Preparation comprising amino acids and plants and its activity in the alcohol detoxification ,"Modutech S.A., Hangzhou Adamerck Pharmlabs Inc.","Youmao QI, Qing JIE, Fengmin ZHANG, Ying Gu, Meiping YU",2009-10-28,2014-04-04,2015-11-24,2015-11-24,https://patents.google.com/patent/US9192638B2/en
CN101249176B,Chinese medicine prescription for steaming and soaking foots ,马秀芬,马秀芬,2008-03-13,2008-03-13,2011-07-27,2011-07-27,https://patents.google.com/patent/CN101249176B/en
US20050054646A1,Compositions of a cyclooxygenase-2 selective inhibitor and an antioxidant agent for the treatment of central nervous system disorders ,Pharmacia Corporation,"Diane Stephenson, Duncan Taylor",2003-06-09,2004-06-08,2005-03-10,,https://patents.google.com/patent/US20050054646A1/en
CN105327145A,Composition for treating hypertensive cerebral hemorrhage and preparation method thereof ,王文福,王文福,2015-11-28,2015-11-28,2016-02-17,,https://patents.google.com/patent/CN105327145A/en
CN101292022A,Microorganisms having bad smell removal activity of organic waste and use thereof ,朴世俊,朴世俊,2005-10-22,2006-10-19,2008-10-22,,https://patents.google.com/patent/CN101292022A/en
CN101322555B,Tibetan medicine yuan-invigorating capsules ,苟春虎,苟春虎,2008-06-17,2008-06-17,2012-05-02,2012-05-02,https://patents.google.com/patent/CN101322555B/en
JP2002205933A,Cosmetic composition containing extract of orchidaceous plant ,"Ichimaru Pharcos Co Ltd, 一丸ファルコス株式会社","Yoko Katsuyama, Hiroyuki Kojima, Masako Toki, 陽子 勝山, 正子 土岐, 弘之 小島",2001-01-05,2001-01-05,2002-07-23,,https://patents.google.com/patent/JP2002205933A/en
JPH09149780A,Composition for extraction of health tea containing fermented black soybeam and health tea ,"Horiuchi:Kk, 株式会社ホリウチ","Kazuo Horiuchi, Toshio Horiuchi, 俊雄 堀内, 和雄 堀内",1995-11-29,1995-11-29,1997-06-10,,https://patents.google.com/patent/JPH09149780A/en
US9198967B2,"Pharmaceutical compositions active in preventing, stabilizing and treating Alzheimer's disease ",Umberto Cornelli,Umberto Cornelli,2009-03-06,2010-03-05,2015-12-01,2015-12-01,https://patents.google.com/patent/US9198967B2/en
CN104823802A,Method for constructing lakeside protecting forest and creating good lakeside ecological environment ,中国林业科学研究院亚热带林业研究所,"张建锋, 单奇华, 王丽, 陈光才, 潘春霞, 徐永辉",2015-04-29,2015-04-29,2015-08-12,,https://patents.google.com/patent/CN104823802A/en
CN105412021A,Ginkgolide B amorphous solid dispersion prepared through hot-melt extrusion method ,江苏康缘药业股份有限公司,"萧伟, 唐星, 王振中, 何海冰, 张宇, 郭庆明",2015-12-06,2015-12-06,2016-03-23,,https://patents.google.com/patent/CN105412021A/en
CN102552549B,Composition for improving visual fatigue and preparation method and application thereof ,北京康比特体育科技股份有限公司,"白厚增, 焦颖, 杨则宜, 朱连君, 刘玉花",2011-12-19,2011-12-19,2014-01-29,2014-01-29,https://patents.google.com/patent/CN102552549B/en
CN102600423A,Preparation method of Chinese medicine for treating hepatic fibrosis ,刘思娟,刘思娟,2012-02-09,2012-02-09,2012-07-25,,https://patents.google.com/patent/CN102600423A/en
CN104352671A,Novel medical application of traditional Chinese medicine composition ,神威药业集团有限公司,"高伟博, 李志刚, 李军山, 张纲, 张志伟, 关秀伟",2014-10-24,2014-10-24,2015-02-18,,https://patents.google.com/patent/CN104352671A/en
CN100467040C,Medicine composition for improving cognitive function of senile organism ,中国人民解放军军事医学科学院卫生学环境医学研究所,"伟 庞, 房恒通, 房红芸, 蒋与刚",2006-12-25,2006-12-25,2009-03-11,2009-03-11,https://patents.google.com/patent/CN100467040C/en
CN104256607A,Sea cucumber and saussurea involucrate healthcare product ,威海力元海洋生物科技有限公司,"侯书胜, 丛培月, 侯书海",2014-10-11,2014-10-11,2015-01-07,,https://patents.google.com/patent/CN104256607A/en
JP2001122730A,Cosmetic composition containing moisturizing plant extract ,"Ichimaru Pharcos Co Ltd, 一丸ファルコス株式会社","Mitsuko Kondo, Mitsuharu Ohara, Masako Toki, 正子 土岐, 光晴 大原, 光子 近藤",1999-10-26,1999-10-26,2001-05-08,,https://patents.google.com/patent/JP2001122730A/en
CN104013868A,Traditional Chinese medicine composition for treating chronic obstructive pulmonary disease and preparation method thereof ,苏华,"苏华, 夏天, 孙金菊, 张文静, 周国威, 程爱民",2014-06-25,2014-06-25,2014-09-03,,https://patents.google.com/patent/CN104013868A/en
DE19544905A1,Preparation of plant extracts ,Robugen Gmbh,"Matthias Dr Mauz, Bernd Dr Hempel, Joerg Mauz",1995-12-01,1995-12-01,1997-06-05,,https://patents.google.com/patent/DE19544905A1/en
CN101683163A,Colorful big steamed bun stuffed with beef capable of beautifying and bodybuilding and production method ,刘泳宏,刘泳宏,2008-09-26,2008-09-26,2010-03-31,,https://patents.google.com/patent/CN101683163A/en
CN100367963C,Medicinal composition containing bilobalide B and its preparation process and usage ,阿尔贝拉医药(中国)有限公司,张玉梅,2005-10-28,2005-10-28,2008-02-13,2008-02-13,https://patents.google.com/patent/CN100367963C/en
